Job Title,Skills
ENTRY LEVEL WEB DEVELOPER,"HTML, CSS, JavaScript, Basic Web Development, Learning Agility"
ENVOY ENGINEER,"Envoy Proxy, Service Mesh, Load Balancing, Networking"
FALCO ENGINEER,"Falco, Kubernetes Security, Cloud Security, System Monitoring"
FLUENTD ENGINEER,"Fluentd, Log Aggregation, Data Collection, System Monitoring"
FORTIFY ENGINEER,"Fortify, Static Code Analysis, Application Security, Secure Coding"
FRAMEWORKS SPECIALIST,"Software Frameworks, Programming Languages, Problem Solving, System Design"
FRONT END DEVELOPER,"HTML, CSS, JavaScript, UI/UX Design, Responsive Design"
FULL STACK DEVELOPER,"HTML, CSS, JavaScript, Back-End Technologies, Database Management"
FULL STACK JAVA DEVELOPER/PROGRAMMER/ENGINEER,"Java, Spring, Hibernate, HTML, CSS, JavaScript"
FULL STACK PYTHON DEVELOPER/PROGRAMMER/ENGINEER,"Python, Django, Flask, HTML, CSS, JavaScript"
GAME DEVELOPER,"C++, C#, Game Engines, 3D Modeling, Game Design"
GCP DEVOPS ENGINEER,"Google Cloud Platform, DevOps Practices, CI/CD Pipelines, Automation"
GERRIT ADMINISTRATOR,"Gerrit, Code Review, Git, Version Control"
GIT ENGINEER,"Git, Version Control, Branching Strategies, Collaboration"
GITHUB ENGINEER,"GitHub, Git, Collaboration Tools, CI/CD Integration"
GITLAB ENGINEER,"GitLab, Git, CI/CD Pipelines, DevOps Practices"
GRADLE ENGINEER,"Gradle, Build Automation, Java, Software Configuration Management"
GRAFANA ENGINEER,"Grafana, Data Visualization, Monitoring, System Performance"
GROOVY ENGINEER,"Groovy, Scripting, Automation, Software Development"
INFORMATION ARCHITECT,"Information Architecture, User Experience Design, Content Strategy, Taxonomy"
INFORMATION SECURITY ANALYST,"Security Protocols, Threat Analysis, Compliance, Incident Response"
INTERACTION DESIGNER,"Interaction Design, User Research, Prototyping, Usability Testing"
IOS DEVELOPER,"Swift, Objective-C, iOS SDK, Mobile App Development, UI/UX Design"
ISTIO ENGINEER,"Istio, Service Mesh, Traffic Management, Security"
IT MANAGER,"IT Management, Team Leadership, Project Management, Budgeting"
JACOCO ENGINEER,"JaCoCo, Code Coverage, Java Testing, Software Quality"
JAVA DEVELOPER,"Java, Spring, Hibernate, Software Development, Object-Oriented Programming"
JENKINS ENGINEER,"Jenkins, CI/CD Pipelines, Build Automation, DevOps Practices"
JIRA ADMINISTRATOR,"Jira, Atlassian Suite, Workflow Configuration, Project Management"
JUNIOR FRONT END DEVELOPER,"HTML, CSS, JavaScript, Basic Web Development, Learning Agility"
JUNIOR IOS DEVELOPER,"Swift, Objective-C, iOS SDK, Basic Mobile App Development, Learning Agility"
JUNIT ENGINEER,"JUnit, Java Testing, Test Automation, Software Quality"
KUBERNETES OPERATIONS ENGINEER,"Kubernetes, Container Orchestration, Cloud Computing, DevOps Practices"
MACHINE LEARNING ARCHITECT,"Machine Learning Algorithms, System Architecture, Cloud Computing, Data Modeling"
MACHINE LEARNING ENGINEER,"Machine Learning Algorithms, Python, Data Analysis, Model Deployment"
MAVEN ENGINEER,"Maven, Build Automation, Java, Software Configuration Management"
MOBILE APP DEVELOPER,"Mobile App Development, iOS/Android SDKs, UI/UX Design, Programming Languages"
MULESOFT DEVELOPER,"MuleSoft Anypoint Platform, API Integration, Java, Integration Patterns"
NAGIOS ENGINEER,"Nagios, System Monitoring, Linux, Networking"
NETWORK AND SYSTEMS ADMINISTRATOR,"Networking, System Administration, Linux/Windows Servers, Troubleshooting"
NETWORK ENGINEER,"Networking Protocols, Cisco/Juniper Devices, Network Security, Troubleshooting"
NEW RELIC ENGINEER,"New Relic, Application Performance Monitoring, Troubleshooting, Cloud Computing"
NEXUS ENGINEER,"Nexus Repository Manager, Artifact Management, DevOps Practices"
NOMAD ENGINEER,"Nomad, Container Orchestration, HashiCorp Tools, Infrastructure Automation"
NOTARY ENGINEER,"Notary, Container Security, Docker, Cryptography"
OCTOPUS DEPLOY ENGINEER,"Octopus Deploy, Deployment Automation, .NET, PowerShell"
OPENSHIFT ENGINEER,"OpenShift, Kubernetes, Containerization, DevOps Practices"
OPENSTACK ENGINEER,"OpenStack, Cloud Computing, Virtualization, System Administration"
OPERATIONS ENGINEER,"System Administration, Linux/Windows Servers, Troubleshooting, Scripting"
ORACLE DEVELOPER,"Oracle Database, SQL, PL/SQL, Database Development"
ORACLE SQL DEVELOPER,"Oracle SQL, PL/SQL, Data Modeling, Database Design"
PACKER ENGINEER,"Packer, Infrastructure as Code, Cloud Computing, Automation"
PHP DEVELOPER,"PHP, MySQL, Web Development, Frameworks (Laravel, Symfony)"
POWERSHELL ENGINEER,"PowerShell, Automation, Windows Server Administration, Scripting"
PRINCIPLE ENGINEER IN ARTIFICIAL INTELLIGENCE,"AI/ML Architecture, Leadership, Strategic Planning, Deep Learning"
PRINCIPLE ENGINEER IN BIG DATA,"Big Data Architecture, Hadoop, Spark, Data Warehousing"
PRINCIPLE ENGINEER IN DATA ANALYSIS,"Data Analysis, Statistical Modeling, Data Visualization, Leadership"
PRINCIPLE ENGINEER IN MACHINE LEARNING,"Machine Learning Algorithms, Model Development, Deployment, Leadership"
PRODUCT MANAGER,"Product Strategy, Market Analysis, Requirements Gathering, Product Roadmap"
PRODUCTION SUPPORT ENGINEER,"Troubleshooting, Incident Management, System Monitoring, Technical Support"
PUPPET OPERATIONS ENGINEER,"Puppet, Configuration Management, Automation, Infrastructure as Code"
SENIOR BUILD AND RELEASE ENGINEER,"CI/CD Pipelines, Build Systems, Automation, Configuration Management"
SENIOR BUILD ENGINEER,"Build Systems, Scripting, Automation, Software Configuration Management"
SENIOR DEVOPS ENGINEER,"DevOps Practices, Cloud Computing, Automation, System Architecture"
SITE RELIABILITY ENGINEER (KUBERNETES Â€ï¿½ DOCKER),"Kubernetes, Docker, System Reliability, Automation, Monitoring"
SPLUNK ENGINEER,"Splunk, Log Management, Data Analysis, System Monitoring"
XL DEPLOY ENGINEER,"XL Deploy, Deployment Automation, DevOps Practices, Configuration Management"
ZABBIX ENGINEER,"Zabbix, System Monitoring, Network Monitoring, Alerting"
API DEVELOPER,"API Design, RESTful Services, Programming Languages, Security"
AUTOMATION SPECIALIST,"Automation Tools, Scripting, Process Improvement, Testing"
BUSINESS INTELLIGENCE ANALYST,"Data Analysis, SQL, Data Visualization, Business Acumen"
CLOUD MIGRATION SPECIALIST,"Cloud Platforms, Migration Tools, System Migration, Project Management"
CYBERSECURITY ANALYST,"Security Protocols, Threat Analysis, Compliance, Incident Response"
DATA QUALITY ENGINEER,"Data Quality Tools, Data Profiling, SQL, Data Governance"
DIGITAL TRANSFORMATION CONSULTANT,"Digital Strategy, Technology Consulting, Business Process Improvement, Change Management"
E-COMMERCE DEVELOPER,"E-Commerce Platforms, Web Development, Payment Gateways, Security"
EMBEDDED SYSTEMS ENGINEER,"Embedded Systems, C/C++, Firmware Development, Hardware Interfaces"
ERP CONSULTANT,"ERP Systems, Business Process Analysis, Implementation, Training"
GEOGRAPHIC INFORMATION SYSTEMS (GIS) ANALYST,"GIS Software, Spatial Analysis, Cartography, Data Visualization"
HELP DESK TECHNICIAN,"Technical Support, Troubleshooting, Customer Service, Hardware/Software"
IDENTITY AND ACCESS MANAGEMENT SPECIALIST,"IAM Systems, Security Protocols, Authentication, Authorization"
INFRASTRUCTURE ARCHITECT,"System Architecture, Cloud Computing, Networking, Security"
INTERNET OF THINGS (IoT) DEVELOPER,"IoT Platforms, Embedded Systems, Sensor Technology, Programming Languages"
IT AUDITOR,"IT Auditing, Compliance, Risk Management, Security"
JAVA ARCHITECT,"Java, System Architecture, Design Patterns, Cloud Computing"
LINUX ADMINISTRATOR,"Linux Servers, System Administration, Scripting, Troubleshooting"
MAINFRAME DEVELOPER,"Mainframe Systems, COBOL, JCL, VSAM"
MICROSOFT DYNAMICS DEVELOPER,"Microsoft Dynamics, CRM, .NET, Development"
MOBILE SECURITY SPECIALIST,"Mobile Security, Penetration Testing, Security Protocols, Risk Management"
NATURAL LANGUAGE PROCESSING ENGINEER,"NLP Algorithms, Python, Machine Learning, Text Analysis"
NETWORK ARCHITECT,"Network Design, Network Protocols, Security, System Architecture"
PENETRATION TESTER,"Penetration Testing, Security Audits, Ethical Hacking, Vulnerability Assessment"
PYTHON ARCHITECT,"Python, System Architecture, Design Patterns, Cloud Computing"
QUALITY ASSURANCE MANAGER,"QA Processes, Test Automation, Test Planning, Team Leadership"
RELEASE MANAGER,"Release Management, CI/CD Pipelines, Coordination, Communication"
SAP CONSULTANT,"SAP Modules, Business Process Analysis, Implementation, Customization"
UX/UI DESIGNER,"UX/UI Design, User Research, Prototyping, Usability Testing"
WEB DEVELOPER,"HTML, CSS, JavaScript, Web Development, Frameworks"
BACK END DEVELOPER,"Server-Side Programming, Databases, API Development, Frameworks"
WEB DESIGNER,"Web Design, Graphic Design, UI/UX Principles, Wireframing"
WEB ENGINEER,"Web Technologies, System Architecture, Performance Optimization, Security"
WEB PRODUCER,"Web Content Management, Project Management, Content Strategy, Collaboration"
WEB PROJECT MANAGER,"Project Management, Web Development, Communication, Budgeting"
WEB CONTENT MANAGER,"Content Creation, Content Strategy, CMS, SEO"
MULTIMEDIA ARCHITECT,"Multimedia Design, Video Production, Audio Production, Graphic Design"
WEB ANALYTICS DEVELOPER,"Web Analytics Tools, Data Analysis, Reporting, A/B Testing"
SEO CONSULTANT,"Search Engine Optimization, Keyword Research, Content Optimization, Link Building"
SEO MANAGER,"SEO Strategy, Team Leadership, Performance Monitoring, Reporting"
INTERNET ENGINEER,"Networking Protocols, Internet Technologies, System Administration, Security"
FRONT-END DESIGNER,"HTML, CSS, JavaScript, UI/UX Design, Responsive Design"
MOBILE DEVELOPER,"Mobile App Development, iOS/Android SDKs, UI/UX Design, Programming Languages"
PYTHON DEVELOPER,"Python, Web Frameworks (Django, Flask), Data Analysis, Scripting"
POWER BI DEVELOPER,"Power BI, Data Modeling, DAX, Data Visualization"
POWER BI ANALYST,"Power BI, Data Analysis, SQL, Business Intelligence"
CLOUD COMPUTING SPECIALIST,"Cloud Platforms, Virtualization, System Administration, Security"
CYBERSECURITY SPECIALIST,"Security Protocols, Threat Analysis, Compliance, Incident Response"
DATA SCIENCE SPECIALIST,"Data Analysis, Machine Learning, Statistical Modeling, Data Visualization"
ARTIFICIAL INTELLIGENCE ENGINEER,"AI/ML Algorithms, Python, Deep Learning, Neural Networks"
DATABASE ARCHITECT,"Database Design, Data Modeling, SQL, Performance Tuning"
SOFTWARE ARCHITECT,"System Architecture, Design Patterns, Programming Languages, Cloud Computing"
CYBERSECURITY ENGINEER,"Security Protocols, Threat Analysis, Risk Management, Incident Response"
INFOSEC ANALYST/CYBERSECURITY ANALYST,"Security Protocols, Threat Analysis, Compliance, Incident Response"
COMPUTER FORENSIC ANALYST,"Digital Forensics, Incident Response, Data Recovery, Legal Compliance"
IT SECURITY SPECIALIST,"Security Protocols, Threat Analysis, Compliance, Risk Management"
SECURITY MANAGER,"Security Management, Risk Assessment, Compliance, Team Leadership"
SECURITY ENGINEER,"Security Protocols, Threat Analysis, Risk Management, Incident Response"
SECURITY CONSULTANT,"Security Consulting, Risk Assessment, Compliance, Security Solutions"
DIRECTOR OF SECURITY,"Security Leadership, Risk Management, Compliance, Incident Response"
SECURITY ADMINISTRATOR,"Security Tools, System Administration, User Management, Security Policies"
SECURITY SPECIALIST,"Security Protocols, Threat Analysis, Compliance, Risk Management"
CHIEF INFORMATION OFFICER,"IT Strategy, Leadership, Budgeting, Project Management"
NETWORK SECURITY ENGINEER,"Networking Protocols, Security Protocols, Firewall Management, Intrusion Detection"
MACHINE LEARNING ENGINEER FOR CYBERSECURITY,"Machine Learning Algorithms, Cybersecurity, Data Analysis, Threat Detection"
NETWORK ANALYST,"Network Monitoring, Troubleshooting, Performance Analysis, Reporting"
NETWORK OPERATIONS ENGINEER,"Network Operations, Troubleshooting, Monitoring, Incident Response"
NETWORK RELIABILITY ENGINEER,"Network Reliability, Automation, Monitoring, Incident Response"
NETWORK INFRASTRUCTURE SPECIALIST,"Networking Hardware, Cabling, Network Design, Implementation"
COMPUTER SUPPORT SPECIALIST,"Technical Support, Troubleshooting, Customer Service, Hardware/Software"
INFORMATION TECHNOLOGY ANALYST,"IT Analysis, Requirements Gathering, Process Improvement, IT Consulting"
TECHNOLOGY SALES CONSULTANT,"Sales, Technology Solutions, Customer Relationship Management, Technical Expertise"
DATABASE DEVELOPER,"Database Development, SQL, PL/SQL, Data Modeling"
DATABASE ANALYST,"Data Analysis, SQL, Data Modeling, Reporting"
DATA WAREHOUSE MANAGER,"Data Warehousing, ETL Processes, Data Modeling, Team Leadership"
DATA WAREHOUSE PROGRAMMING SPECIALIST,"ETL Processes, SQL, Data Modeling, Data Warehousing"
INTELLIGENCE SPECIALIST,"Data Analysis, Intelligence Gathering, Reporting, Security"
CLOUD/SOFTWARE ARCHITECT,"Cloud Platforms, System Architecture, Cloud Security, DevOps"
CLOUD/SOFTWARE DEVELOPER,"Cloud Platforms, Programming Languages, Software Development, Cloud Services"
CLOUD/SOFTWARE APPLICATIONS ENGINEER,"Cloud Platforms, Application Development, Cloud Services, DevOps"
CLOUD SYSTEM ADMINISTRATOR,"Cloud Platforms, System Administration, Virtualization, Networking"
CLOUD SYSTEM ENGINEER,"Cloud Platforms, System Engineering, Automation, Scripting"
PLATFORM ENGINEER,"Platform Engineering, Cloud Computing, Automation, DevOps Practices"
SOFTWARE QUALITY ASSURANCE ANALYST,"QA Processes, Test Planning, Test Execution, Reporting"
UI (USER INTERFACE) DESIGNER,"UI Design, User Research, Prototyping, Usability Testing"
TECHNICAL ACCOUNT MANAGER,"Customer Relationship Management, Technical Support, Account Management, Sales"
IT SALES EXECUTIVE,"Sales, Technology Solutions, Customer Relationship Management, Sales Strategy"
IT SALES DIRECTOR,"Sales Leadership, Sales Strategy, Customer Relationship Management, Team Management"
TECHNOLOGY MANAGER,"IT Management, Team Leadership, Project Management, Budgeting"
TECHNOLOGY ASSISTANT,"Technical Support, Administrative Support, Hardware/Software, Troubleshooting"
TECHNOLOGY SPECIALIST,"Technical Expertise, Problem Solving, Troubleshooting, IT Support"
DIRECTOR ORACLE,"Oracle Database, Team Leadership, Project Management, Budgeting"
KNOWLEDGE MANAGER,"Knowledge Management, Information Architecture, Collaboration, Documentation"
MANAGER HARDWARE,"Hardware Management, Team Leadership, Budgeting, Inventory Management"
SHAREPOINT MANAGER,"SharePoint, Team Leadership, Project Management, Collaboration"
REQUIREMENTS MANAGER,"Requirements Gathering, Analysis, Documentation, Communication"
IMPLEMENTATION DIRECTOR,"Implementation Management, Project Management, Team Leadership, Communication"
TECHNOLOGY OFFICER,"IT Strategy, Leadership, Innovation, Project Management"
DIRECTOR BUSINESS SYSTEMS,"Business Systems, Team Leadership, Project Management, Process Improvement"
MANAGER NET,"NET Development, Team Leadership, Project Management, .NET Framework"
SYSTEMS INTEGRATION MANAGER,"Systems Integration, Project Management, Team Leadership, Communication"
DIGITAL PROGRAM MANAGER,"Digital Strategy, Program Management, Team Leadership, Communication"
INTEGRATION DIRECTOR,"Integration Management, Project Management, Team Leadership, Communication"
DIRECTOR HARDWARE,"Hardware Management, Team Leadership, Budgeting, Strategic Planning"
MANAGER LINUX,"Linux Administration, Team Leadership, Project Management, Troubleshooting"
MANAGER PHP,"PHP Development, Team Leadership, Project Management, Web Development"
FIRMWARE MANAGER,"Firmware Development, Team Leadership, Project Management, Embedded Systems"
IT PROGRAM ENGAGEMENT DIRECTOR,"IT Program Management, Customer Relationship Management, Stakeholder Management, Team Leadership"
MANAGER UNIX,"UNIX Administration, Team Leadership, Project Management, Troubleshooting"
TECHNOLOGY ADOPTION MANAGER,"Technology Adoption, Training, Communication, Change Management"
IT SUPPORT SPECIALIST,"Technical Support, Troubleshooting, Customer Service, Hardware/Software"
CUSTOMER SERVICE REPRESENTATIVE,"Customer Service, Communication, Problem Solving, Technical Support"
TECHNICAL PRODUCT MANAGER,"Product Management, Technical Expertise, Market Analysis, Requirements Gathering"
PROJECT MANAGER,"Project Management, Planning, Execution, Communication"
PROGRAM MANAGER,"Program Management, Planning, Execution, Communication"
PORTFOLIO MANAGER,"Portfolio Management, Investment Management, Risk Management, Financial Analysis"
CHIEF INFORMATION OFFICER (CIO),"IT Strategy, Leadership, Budgeting, Project Management"
CHIEF TECHNOLOGY OFFICER (CTO),"Technology Strategy, Innovation, Research and Development, Team Leadership"
IT DIRECTOR,"IT Management, Team Leadership, Budgeting, Project Management"
TECHNICAL OPERATIONS OFFICER,"Technical Operations, Infrastructure Management, System Administration, Incident Response"
INFORMATION MANAGEMENT SYSTEMS DIRECTOR,"Information Management, Systems Administration, Data Management, Compliance"
SENIOR IT CONSULTANT,"IT Consulting, Project Management, Technical Expertise, Client Management"
TECHNICAL LEAD,"Technical Leadership, Software Development, Team Leadership, Mentoring"
IT APPRENTICE,"Technical Support, Troubleshooting, Learning Agility, Customer Service"
IT TECHNICIAN,"Technical Support, Troubleshooting, Hardware/Software, Networking"
IT SYSTEMS ADMINISTRATOR,"System Administration, Linux/Windows Servers, Troubleshooting, Scripting"
IT ENGINEER,"System Engineering, Networking, Cloud Computing, Security"
COMPUTER NETWORK SPECIALIST,"Networking, Troubleshooting, System Administration, Security"
COMPUTER AND INFORMATION RESEARCH SCIENTIST,"Research Methodologies, Data Analysis, Programming, Scientific Writing"
COMPUTER AND INFORMATION RESEARCH MANAGER,"Research Management, Team Leadership, Budgeting, Project Management"
SOFTWARE DEVELOPMENT MANAGER,"Software Development, Team Leadership, Project Management, Software Architecture"
SOFTWARE DEVELOPMENT ENGINEER,"Software Development, Programming Languages, Algorithm Design, Problem Solving"
APPLICATION DESIGNER,"Application Design, UI/UX Principles, Programming Languages, Software Architecture"
APPLICATION ENGINEER,"Application Development, Programming Languages, Troubleshooting, System Administration"
LEAD PROGRAMMER,"Programming Languages, Software Development, Team Leadership, Mentoring"
ITERATION MANAGER,"Agile Methodologies, Scrum, Kanban, Team Facilitation"
WEBMASTER,"Web Development, Web Design, System Administration, Content Management"
UX/UI RESEARCHER,"User Research, Usability Testing, Data Analysis, Reporting"
UX/UI SPECIALIST,"UX/UI Design, User Research, Prototyping, Usability Testing"
ANIMATOR,"Animation Software, 2D/3D Animation, Storyboarding, Visual Effects"
MOTION GRAPHICS ARTIST,"Motion Graphics, Animation Software, Visual Effects, Graphic Design"
2D ARTIST/ANIMATOR,"2D Animation, Drawing, Illustration, Animation Software"
3D ARTIST/ANIMATOR,"3D Animation, Modeling, Texturing, Rigging"
CHARACTER DESIGNER,"Character Design, Illustration, Drawing, Animation"
STORYBOARD ARTIST,"Storyboarding, Drawing, Visual Communication, Film/Animation"
VFX ARTIST,"Visual Effects, Compositing, 3D Modeling, Simulation"
RIGGING ARTIST,"Rigging, Animation, 3D Modeling, Character Setup"
TECHNICAL ANIMATOR,"Technical Animation, Scripting, Programming, Animation Software"
ART DIRECTOR,"Art Direction, Visual Design, Team Leadership, Project Management"
ANIMATION DIRECTOR,"Animation Direction, Storytelling, Team Leadership, Project Management"
VISUAL EFFECTS ANIMATOR,"Visual Effects, Animation, Compositing, 3D Modeling"
GRAPHIC EFFECTS SUPERVISOR,"Visual Effects Supervision, Team Leadership, Technical Expertise, Project Management"
FORENSIC ANIMATOR,"Forensic Animation, 3D Modeling, Legal Expertise, Visual Communication"
COMPOSITOR,"Compositing, Visual Effects, Color Correction, Image Manipulation"
EFFECTS TECHNICAL DIRECTOR (FX TD),"Visual Effects, Technical Expertise, Scripting, Problem Solving"
LAYOUT ARTIST,"Layout, Cinematography, 3D Modeling, Visual Storytelling"
AI RESEARCHER,"AI/ML Algorithms, Python, Research Methodologies, Data Analysis"
AI SOFTWARE ARCHITECT,"AI/ML Architecture, Software Design, Cloud Computing, Data Modeling"
BUSINESS INTELLIGENCE DEVELOPER,"Business Intelligence Tools, Data Modeling, SQL, ETL Processes"
