role_id,role_name,domain_interest,required_skill_id,required_skill_name,skill_category,priority,minimum_level,step_order,prerequisite_skill_id
devops_engineer,Devops Engineer,devops,cybersecurity,Cybersecurity,specialized,low,advanced,19,java
devops_engineer,Devops Engineer,devops,microservices,Microservices,specialized,low,advanced,20,cybersecurity
frontend_developer,Frontend Developer,web_development,javascript,JavaScript,fundamental,high,basic,1,
frontend_developer,Frontend Developer,web_development,rest_api,REST API,fundamental,high,basic,2,javascript
frontend_developer,Frontend Developer,web_development,typescript,TypeScript,fundamental,high,basic,3,rest_api
frontend_developer,Frontend Developer,web_development,git,Git,core,high,intermediate,4,typescript
frontend_developer,Frontend Developer,web_development,reactjs,React.js,core,high,intermediate,5,git
frontend_developer,Frontend Developer,web_development,css,CSS,core,high,intermediate,6,reactjs
frontend_developer,Frontend Developer,web_development,mysql,MySQL,core,high,intermediate,7,css
frontend_developer,Frontend Developer,web_development,sql,SQL,core,high,intermediate,8,mysql
frontend_developer,Frontend Developer,web_development,html,HTML,core,medium,intermediate,9,sql
frontend_developer,Frontend Developer,web_development,php,PHP,core,medium,intermediate,10,html
frontend_developer,Frontend Developer,web_development,machine_learning,Machine Learning,core,medium,intermediate,11,php
frontend_developer,Frontend Developer,web_development,postgresql,PostgreSQL,core,medium,intermediate,12,machine_learning
frontend_developer,Frontend Developer,web_development,ui_ux,UI/UX,core,medium,intermediate,13,postgresql
frontend_developer,Frontend Developer,web_development,vuejs,Vue.js,core,medium,intermediate,14,ui_ux
frontend_developer,Frontend Developer,web_development,python,Python,core,medium,intermediate,15,vuejs
frontend_developer,Frontend Developer,web_development,laravel,Laravel,specialized,low,advanced,16,python
frontend_developer,Frontend Developer,web_development,nodejs,Node.js,specialized,low,advanced,17,laravel
frontend_developer,Frontend Developer,web_development,nextjs,Next.js,specialized,low,advanced,18,nodejs
frontend_developer,Frontend Developer,web_development,java,Java,specialized,low,advanced,19,nextjs
frontend_developer,Frontend Developer,web_development,docker,Docker,specialized,low,advanced,20,java
machine_learning,Machine Learning,ai_ml,typescript,TypeScript,fundamental,high,basic,1,
machine_learning,Machine Learning,ai_ml,python,Python,fundamental,high,basic,2,typescript
machine_learning,Machine Learning,ai_ml,machine_learning,Machine Learning,fundamental,high,basic,3,python
machine_learning,Machine Learning,ai_ml,sql,SQL,core,high,intermediate,4,machine_learning
machine_learning,Machine Learning,ai_ml,excel,Excel,core,high,intermediate,5,sql
machine_learning,Machine Learning,ai_ml,gcp,GCP,core,high,intermediate,6,excel
machine_learning,Machine Learning,ai_ml,aws,AWS,core,high,intermediate,7,gcp
machine_learning,Machine Learning,ai_ml,rest_api,REST API,core,high,intermediate,8,aws
machine_learning,Machine Learning,ai_ml,etl,ETL,core,medium,intermediate,9,rest_api
machine_learning,Machine Learning,ai_ml,azure,Azure,core,medium,intermediate,10,etl
machine_learning,Machine Learning,ai_ml,tensorflow,TensorFlow,core,medium,intermediate,11,azure
machine_learning,Machine Learning,ai_ml,pytorch,PyTorch,core,medium,intermediate,12,tensorflow
machine_learning,Machine Learning,ai_ml,postgresql,PostgreSQL,core,medium,intermediate,13,pytorch
machine_learning,Machine Learning,ai_ml,power_bi,Power BI,core,medium,intermediate,14,postgresql
machine_learning,Machine Learning,ai_ml,docker,Docker,core,medium,intermediate,15,power_bi
machine_learning,Machine Learning,ai_ml,ci_cd,CI/CD,specialized,low,advanced,16,docker
machine_learning,Machine Learning,ai_ml,javascript,JavaScript,specialized,low,advanced,17,ci_cd
machine_learning,Machine Learning,ai_ml,git,Git,specialized,low,advanced,18,javascript
machine_learning,Machine Learning,ai_ml,java,Java,specialized,low,advanced,19,git
machine_learning,Machine Learning,ai_ml,spark,Spark,specialized,low,advanced,20,java
ui_ux_designer,Ui Ux Designer,ui_ux,typescript,TypeScript,fundamental,high,basic,1,
ui_ux_designer,Ui Ux Designer,ui_ux,ui_ux,UI/UX,fundamental,high,basic,2,typescript
ui_ux_designer,Ui Ux Designer,ui_ux,figma,Figma,fundamental,high,basic,3,ui_ux
ui_ux_designer,Ui Ux Designer,ui_ux,excel,Excel,core,high,intermediate,4,figma
ui_ux_designer,Ui Ux Designer,ui_ux,wireframing,Wireframing,core,high,intermediate,5,excel
ui_ux_designer,Ui Ux Designer,ui_ux,javascript,JavaScript,core,high,intermediate,6,wireframing
ui_ux_designer,Ui Ux Designer,ui_ux,css,CSS,core,high,intermediate,7,javascript
ui_ux_designer,Ui Ux Designer,ui_ux,html,HTML,core,high,intermediate,8,css
ui_ux_designer,Ui Ux Designer,ui_ux,rest_api,REST API,core,medium,intermediate,9,html
ui_ux_designer,Ui Ux Designer,ui_ux,git,Git,core,medium,intermediate,10,rest_api
ui_ux_designer,Ui Ux Designer,ui_ux,machine_learning,Machine Learning,core,medium,intermediate,11,git
ui_ux_designer,Ui Ux Designer,ui_ux,prototyping,Prototyping,core,medium,intermediate,12,machine_learning
ui_ux_designer,Ui Ux Designer,ui_ux,reactjs,React.js,core,medium,intermediate,13,prototyping
ui_ux_designer,Ui Ux Designer,ui_ux,agile_scrum,Agile/Scrum,core,medium,intermediate,14,reactjs
ui_ux_designer,Ui Ux Designer,ui_ux,nextjs,Next.js,core,medium,intermediate,15,agile_scrum
ui_ux_designer,Ui Ux Designer,ui_ux,sql,SQL,specialized,low,advanced,16,nextjs
ui_ux_designer,Ui Ux Designer,ui_ux,problem_solving,Problem Solving,specialized,low,advanced,17,sql
ui_ux_designer,Ui Ux Designer,ui_ux,golang,Golang,specialized,low,advanced,18,problem_solving
ui_ux_designer,Ui Ux Designer,ui_ux,mysql,MySQL,specialized,low,advanced,19,golang
ui_ux_designer,Ui Ux Designer,ui_ux,vuejs,Vue.js,specialized,low,advanced,20,mysql
